N,time_numpy,time_cupy
1,2.765655517578125e-05,0.0008432865142822266
10001,0.0001366138458251953,0.00048160552978515625
20001,0.00017261505126953125,0.0004992485046386719
30001,0.0002551078796386719,0.0008859634399414062
40001,0.00027441978454589844,0.0004355907440185547
50001,0.0002040863037109375,0.0004563331604003906
60001,0.0002636909484863281,0.0004451274871826172
70001,0.0003771781921386719,0.0004532337188720703
80001,0.0004470348358154297,0.00043463706970214844
90001,0.00041794776916503906,0.0005154609680175781
100001,0.00039505958557128906,0.0004286766052246094
110001,0.0004894733428955078,0.0005400180816650391
120001,0.00047278404235839844,0.0005712509155273438
130001,0.00046706199645996094,0.00042939186096191406
140001,0.0006275177001953125,0.0004181861877441406
150001,0.0006504058837890625,0.00044345855712890625
160001,0.0006883144378662109,0.00043082237243652344
170001,0.0007174015045166016,0.0004329681396484375
180001,0.0007405281066894531,0.0004210472106933594
190001,0.000774383544921875,0.0004088878631591797
200001,0.0009818077087402344,0.00040435791015625
210001,0.001333475112915039,0.0004115104675292969
220001,0.001294851303100586,0.0005719661712646484
230001,0.0014603137969970703,0.0004405975341796875
240001,0.0016286373138427734,0.00043702125549316406
250001,0.003271341323852539,0.00043964385986328125
260001,0.0033111572265625,0.0004324913024902344
270001,0.0038139820098876953,0.0004475116729736328
280001,0.0040740966796875,0.0004527568817138672
290001,0.0038433074951171875,0.0004436969757080078
300001,0.004516124725341797,0.0004680156707763672
310001,0.00488734245300293,0.0006430149078369141
320001,0.004472017288208008,0.00046753883361816406
330001,0.004932403564453125,0.0004374980926513672
340001,0.004568815231323242,0.00044035911560058594
350001,0.004658222198486328,0.0004363059997558594
360001,0.0048558712005615234,0.00045490264892578125
370001,0.004959583282470703,0.0005061626434326172
380001,0.00531005859375,0.00045180320739746094
390001,0.00554966926574707,0.0004429817199707031
400001,0.005396842956542969,0.00043845176696777344
410001,0.00543212890625,0.0004558563232421875
420001,0.005605459213256836,0.0008943080902099609
430001,0.007853269577026367,0.0008428096771240234
440001,0.007768392562866211,0.0006663799285888672
450001,0.006930351257324219,0.0005180835723876953
460001,0.007415771484375,0.00048470497131347656
470001,0.0073833465576171875,0.0013971328735351562
480001,0.007183551788330078,0.0005257129669189453
490001,0.00702977180480957,0.00047206878662109375
500001,0.007386922836303711,0.0005092620849609375
510001,0.007691621780395508,0.0005059242248535156
520001,0.00775909423828125,0.0005192756652832031
530001,0.007590293884277344,0.0004985332489013672
540001,0.007707834243774414,0.0005047321319580078
550001,0.008117914199829102,0.0005097389221191406
560001,0.008850336074829102,0.001008749008178711
570001,0.008204221725463867,0.00048089027404785156
