N,time_numpy,time_cupy
1,0.00013208389282226562,0.0488743782043457
128,0.0024077892303466797,0.11353278160095215
255,0.0013649463653564453,0.0011267662048339844
382,0.003316640853881836,0.0019304752349853516
509,0.004495859146118164,0.0002551078796386719
636,0.007349967956542969,0.00033211708068847656
763,0.010672569274902344,0.0007038116455078125
890,0.014986276626586914,0.00027942657470703125
1017,0.02859210968017578,0.0003399848937988281
1144,0.02564096450805664,0.0013802051544189453
1271,0.039163827896118164,0.0002906322479248047
1398,0.0461122989654541,0.0002810955047607422
1525,0.056664466857910156,0.0002720355987548828
1652,0.07104063034057617,0.00026917457580566406
1779,0.08130693435668945,0.00027632713317871094
1906,0.09764528274536133,0.00026869773864746094
2033,0.1158902645111084,0.0002758502960205078
2160,0.1331648826599121,0.0007183551788330078
2287,0.1522207260131836,0.0004849433898925781
2414,0.1837465763092041,0.00035881996154785156
2541,0.19836735725402832,0.0005917549133300781
2668,0.23128414154052734,0.00041604042053222656
2795,0.2592601776123047,0.0004258155822753906
2922,0.28771114349365234,0.00025963783264160156
3049,0.32239866256713867,0.0002574920654296875
3176,0.3512454032897949,0.0002658367156982422
3303,0.404141902923584,0.0002644062042236328
3430,0.4643135070800781,0.0002868175506591797
3557,0.4803946018218994,0.0002689361572265625
3684,0.5288891792297363,0.0003418922424316406
3811,0.5709683895111084,0.00026345252990722656
3938,0.6437454223632812,0.0002849102020263672
4065,0.6627299785614014,0.0002663135528564453
