N,CPU,GPU
1,8.463859558105469e-05,0.0010197162628173828
10001,0.0005230903625488281,0.0002703666687011719
20001,0.00019884109497070312,0.00025010108947753906
30001,0.0002903938293457031,0.00020456314086914062
40001,0.0004584789276123047,0.00020837783813476562
50001,0.0006723403930664062,0.0002593994140625
60001,0.0008137226104736328,0.0004489421844482422
70001,0.0010051727294921875,0.0002465248107910156
80001,0.0012362003326416016,0.0004284381866455078
90001,0.0014920234680175781,0.0004627704620361328
100001,0.0013463497161865234,0.0002503395080566406
110001,0.001031637191772461,0.00021529197692871094
120001,0.001300811767578125,0.00020265579223632812
130001,0.0020143985748291016,0.00023365020751953125
140001,0.0019099712371826172,0.00023365020751953125
150001,0.0017077922821044922,0.0002124309539794922
160001,0.0016362667083740234,0.00021219253540039062
170001,0.001726388931274414,0.00021004676818847656
180001,0.0025777816772460938,0.0003647804260253906
190001,0.0036482810974121094,0.0006000995635986328
200001,0.002768278121948242,0.00022363662719726562
210001,0.0023450851440429688,0.00021576881408691406
220001,0.002607583999633789,0.0003032684326171875
230001,0.002815723419189453,0.0002980232238769531
240001,0.0030794143676757812,0.00033664703369140625
250001,0.003232240676879883,0.00028014183044433594
260001,0.0034058094024658203,0.0002968311309814453
270001,0.0036764144897460938,0.0002713203430175781
280001,0.003863096237182617,0.0002484321594238281
290001,0.004691600799560547,0.00035858154296875
300001,0.00420689582824707,0.00029206275939941406
310001,0.0042421817779541016,0.00027179718017578125
320001,0.0050487518310546875,0.0003783702850341797
330001,0.004506111145019531,0.0002651214599609375
340001,0.004624128341674805,0.0002853870391845703
350001,0.0051229000091552734,0.0003254413604736328
360001,0.0049839019775390625,0.0002772808074951172
370001,0.005359649658203125,0.0003108978271484375
380001,0.0057048797607421875,0.0003662109375
390001,0.005524396896362305,0.0002961158752441406
400001,0.00591278076171875,0.00035643577575683594
410001,0.005813121795654297,0.0003159046173095703
420001,0.006060361862182617,0.00036263465881347656
430001,0.00609278678894043,0.0003364086151123047
440001,0.006405830383300781,0.00033664703369140625
450001,0.006430864334106445,0.00030303001403808594
460001,0.007069587707519531,0.0004291534423828125
470001,0.0070953369140625,0.0003714561462402344
480001,0.006783485412597656,0.0003275871276855469
490001,0.007143259048461914,0.00034046173095703125
500001,0.007172107696533203,0.0004203319549560547
510001,0.00749516487121582,0.00033593177795410156
520001,0.007381916046142578,0.00036025047302246094
530001,0.007538318634033203,0.00034499168395996094
540001,0.014023303985595703,0.0007045269012451172
550001,0.008315563201904297,0.0003993511199951172
560001,0.007919549942016602,0.0005862712860107422
570001,0.008347272872924805,0.0003921985626220703
580001,0.008299589157104492,0.0003781318664550781
590001,0.008083343505859375,0.000354766845703125
600001,0.008588314056396484,0.0003867149353027344
610001,0.008547306060791016,0.00038552284240722656
620001,0.009097099304199219,0.00044226646423339844
630001,0.009129524230957031,0.0003948211669921875
