N,time_numpy,time_cupy
1,0.011853456497192383,7.689480781555176
1001,0.1870276927947998,2.7163591384887695
2001,0.8204324245452881,1.8834245204925537
3001,1.832998514175415,2.7882142066955566
4001,3.251291036605835,4.095503091812134
5001,5.153731107711792,5.858400106430054
6001,7.45350456237793,8.432493209838867
7001,9.903797149658203,9.913118124008179
8001,12.999321937561035,10.1482412815094
9001,16.675249338150024,9.292438268661499
10001,20.245797395706177,9.924694538116455
11001,24.573137283325195,10.738738536834717
12001,29.29323959350586,11.477209091186523
13001,34.617653608322144,12.827016353607178
14001,40.43091702461243,13.687439203262329
15001,46.37890028953552,15.374849557876587
16001,53.79734539985657,15.817305564880371
17001,60.865615129470825,398.3786737918854
18001,68.65409898757935,117.00547480583191
19001,76.88379287719727,604.5527594089508
20001,85.41167855262756,22.058640003204346
21001,93.840017080307,22.423564672470093
22001,103.39620518684387,24.175987482070923
23001,113.35128235816956,783.9138669967651
24001,124.39221358299255,27.198974609375
25001,133.52224898338318,27.327265739440918
26001,146.9047772884369,699.62246966362
27001,159.1701238155365,30.4796245098114
28001,171.08758854866028,60.631815671920776
29001,184.07116985321045,33.101425647735596
